gid,landarea_lbl,landarea_val,경도,위도
占썬끉沅?2bb49ab,242.04,242.0399999999990000000000000000000,126.853359,37.541934
占썬끉沅?2bb49ba,,,126.853339,37.544187
占썬끉沅?2bb49bb,247.42,247.4199999999990000000000000000000,126.853320,37.546440
占썬끉沅?2bb50aa,566.61,566.6100000000000000000000000000000,126.853300,37.548693
占썬끉沅?2bb50ab,337.47,337.4700000000000000000000000000000,126.853281,37.550947
占썬끉沅?2bb50ba,341.23,341.2300000000000000000000000000000,126.853261,37.553200
占썬끉沅?2bb50bb,813.00,813.0000000000000000000000000000000,126.853242,37.555453
占썬끉沅?2bb51aa,5150.88,5150.8800000000000000000000000000000,126.853223,37.557706
占썬끉沅?2bb51ab,30340.79,30340.7900000000000000000000000000000,126.853203,37.559960
占썬끉沅?2bb51ba,6078.63,6078.6300000000000000000000000000000,126.853184,37.562213
占썬끉沅?2bb51bb,31074.06,31074.0600000000000000000000000000000,126.853164,37.564466
占썬끉沅?2bb52aa,31820.19,31820.1899999999000000000000000000000,126.853145,37.566719
占썬끉沅?2bb52ab,,,126.853125,37.568973
占썬끉沅?2bb52ba,,,126.853106,37.571226
占썬끉沅?2bb52bb,,,126.853086,37.573479
占썬끉沅?3aa47bb,514.46,514.4600000000000000000000000000000,126.856305,37.528430
占썬끉沅?3aa48aa,213.39,213.3899999999990000000000000000000,126.856285,37.530683
占썬끉沅?3aa48ab,260.89,260.8899999999990000000000000000000,126.856266,37.532936
占썬끉沅?3aa48ba,206.63,206.6299999999990000000000000000000,126.856247,37.535189
占썬끉沅?3aa48bb,567.24,567.2400000000000000000000000000000,126.856227,37.537443
占썬끉沅?3aa49aa,3439.96,3439.9600000000000000000000000000000,126.856208,37.539696
占썬끉沅?3aa49ab,4928.33,4928.3299999999900000000000000000000,126.856189,37.541949
占썬끉沅?3aa49ba,,,126.856169,37.544202
占썬끉沅?3aa49bb,9944.93,9944.9300000000000000000000000000000,126.856150,37.546456
占썬끉沅?3aa50aa,,,126.856130,37.548709
占썬끉沅?3aa50ab,3177.14,3177.1399999999900000000000000000000,126.856111,37.550962
占썬끉沅?3aa50ba,2139.98,2139.9800000000000000000000000000000,126.856092,37.553215
占썬끉沅?3aa50bb,767.15,767.1499999999990000000000000000000,126.856072,37.555469
占썬끉沅?3aa51aa,3900.28,3900.2800000000000000000000000000000,126.856053,37.557722
占썬끉沅?3aa51ab,6127.27,6127.2700000000000000000000000000000,126.856034,37.559975
占썬끉沅?3aa51ba,28984.66,28984.6599999999000000000000000000000,126.856014,37.562228
占썬끉沅?3aa51bb,30750.45,30750.4500000000000000000000000000000,126.855995,37.564482
