gid,population_lbl,population_val,경도,위도
占썬끉沅?2ba50ab,905.00,905.0000000000000000000000000000000,126.850451,37.550931
占썬끉沅?2ba50ba,1597.00,1597.0000000000000000000000000000000,126.850431,37.553184
占썬끉沅?2ba50bb,2389.00,2389.0000000000000000000000000000000,126.850412,37.555438
占썬끉沅?2ba51aa,264.00,264.0000000000000000000000000000000,126.850392,37.557691
占썬끉沅?2ba51ab,948.00,948.0000000000000000000000000000000,126.850373,37.559944
占썬끉沅?2ba51ba,2842.00,2842.0000000000000000000000000000000,126.850353,37.562197
占썬끉沅?2ba51bb,1279.00,1279.0000000000000000000000000000000,126.850333,37.564451
占썬끉沅?2ba52aa,2285.00,2285.0000000000000000000000000000000,126.850314,37.566704
占썬끉沅?2ba52ab,625.00,625.0000000000000000000000000000000,126.850294,37.568957
占썬끉沅?2ba52ba,152.00,152.0000000000000000000000000000000,126.850275,37.571210
占썬끉沅?2ba52bb,,,126.850255,37.573464
占썬끉沅?2ba53aa,,,126.850236,37.575717
占썬끉沅?2bb47bb,321.00,321.0000000000000000000000000000000,126.853476,37.528414
占썬끉沅?2bb48aa,2401.00,2401.0000000000000000000000000000000,126.853456,37.530667
占썬끉沅?2bb48ab,2233.00,2233.0000000000000000000000000000000,126.853437,37.532921
占썬끉沅?2bb48ba,3456.00,3456.0000000000000000000000000000000,126.853417,37.535174
占썬끉沅?2bb48bb,1189.00,1189.0000000000000000000000000000000,126.853398,37.537427
占썬끉沅?2bb49aa,256.00,256.0000000000000000000000000000000,126.853378,37.539680
占썬끉沅?2bb49ab,338.00,338.0000000000000000000000000000000,126.853359,37.541934
占썬끉沅?2bb49ba,,,126.853339,37.544187
占썬끉沅?2bb49bb,784.00,784.0000000000000000000000000000000,126.853320,37.546440
占썬끉沅?2bb50aa,1528.00,1528.0000000000000000000000000000000,126.853300,37.548693
占썬끉沅?2bb50ab,1739.00,1739.0000000000000000000000000000000,126.853281,37.550947
占썬끉沅?2bb50ba,2092.00,2092.0000000000000000000000000000000,126.853261,37.553200
占썬끉沅?2bb50bb,2023.00,2023.0000000000000000000000000000000,126.853242,37.555453
占썬끉沅?2bb51aa,915.00,915.0000000000000000000000000000000,126.853223,37.557706
占썬끉沅?2bb51ab,890.00,890.0000000000000000000000000000000,126.853203,37.559960
占썬끉沅?2bb51ba,2615.00,2615.0000000000000000000000000000000,126.853184,37.562213
占썬끉沅?2bb51bb,2750.00,2750.0000000000000000000000000000000,126.853164,37.564466
占썬끉沅?2bb52aa,1570.00,1570.0000000000000000000000000000000,126.853145,37.566719
占썬끉沅?2bb52ab,,,126.853125,37.568973
占썬끉沅?2bb52ba,,,126.853106,37.571226
占썬끉沅?2bb52bb,,,126.853086,37.573479
占썬끉沅?3aa47bb,223.00,223.0000000000000000000000000000000,126.856305,37.528430
占썬끉沅?3aa48aa,1968.00,1968.0000000000000000000000000000000,126.856285,37.530683
占썬끉沅?3aa48ab,3167.00,3167.0000000000000000000000000000000,126.856266,37.532936
占썬끉沅?3aa48ba,2915.00,2915.0000000000000000000000000000000,126.856247,37.535189
占썬끉沅?3aa48bb,2063.00,2063.0000000000000000000000000000000,126.856227,37.537443
占썬끉沅?3aa49aa,206.00,206.0000000000000000000000000000000,126.856208,37.539696
占썬끉沅?3aa49ab,N/A,0.0000000000000000000000000000000,126.856189,37.541949
占썬끉沅?3aa49ba,,,126.856169,37.544202
占썬끉沅?3aa49bb,334.00,334.0000000000000000000000000000000,126.856150,37.546456
占썬끉沅?3aa50aa,,,126.856130,37.548709
占썬끉沅?3aa50ab,537.00,537.0000000000000000000000000000000,126.856111,37.550962
占썬끉沅?3aa50ba,464.00,464.0000000000000000000000000000000,126.856092,37.553215
占썬끉沅?3aa50bb,2202.00,2202.0000000000000000000000000000000,126.856072,37.555469
占썬끉沅?3aa51aa,2594.00,2594.0000000000000000000000000000000,126.856053,37.557722
占썬끉沅?3aa51ab,3408.00,3408.0000000000000000000000000000000,126.856034,37.559975
占썬끉沅?3aa51ba,4207.00,4207.0000000000000000000000000000000,126.856014,37.562228
占썬끉沅?3aa51bb,2634.00,2634.0000000000000000000000000000000,126.855995,37.564482
占썬끉沅?3aa52aa,1231.00,1231.0000000000000000000000000000000,126.855975,37.566735
占썬끉沅?3aa52ab,,,126.855956,37.568988
占썬끉沅?3aa52ba,,,126.855937,37.571241
占썬끉沅?3ab47bb,N/A,0.0000000000000000000000000000000,126.859134,37.528445
占썬끉沅?3ab48aa,1894.00,1894.0000000000000000000000000000000,126.859115,37.530698
占썬끉沅?3ab48ab,1773.00,1773.0000000000000000000000000000000,126.859096,37.532951
占썬끉沅?3ab48ba,3148.00,3148.0000000000000000000000000000000,126.859076,37.535205
占썬끉沅?3ab48bb,1991.00,1991.0000000000000000000000000000000,126.859057,37.537458
占썬끉沅?3ab49aa,245.00,245.0000000000000000000000000000000,126.859038,37.539711
占썬끉沅?3ab49ab,371.00,371.0000000000000000000000000000000,126.859018,37.541965
占썬끉沅?3ab49ba,2680.00,2680.0000000000000000000000000000000,126.858999,37.544218
占썬끉沅?3ab49bb,2696.00,2696.0000000000000000000000000000000,126.858980,37.546471
占썬끉沅?3ab50aa,260.00,260.0000000000000000000000000000000,126.858960,37.548724
占썬끉沅?3ab50ab,1972.00,1972.0000000000000000000000000000000,126.858941,37.550978
占썬끉沅?3ab50ba,351.00,351.0000000000000000000000000000000,126.858922,37.553231
占썬끉沅?3ab50bb,3246.00,3246.0000000000000000000000000000000,126.858903,37.555484
占썬끉沅?3ab51aa,1125.00,1125.0000000000000000000000000000000,126.858883,37.557737
占썬끉沅?3ab51ab,1309.00,1309.0000000000000000000000000000000,126.858864,37.559991
占썬끉沅?3ab51ba,1829.00,1829.0000000000000000000000000000000,126.858845,37.562244
占썬끉沅?3ab51bb,1207.00,1207.0000000000000000000000000000000,126.858825,37.564497
占썬끉沅?3ab52aa,,,126.858806,37.566750
占썬끉沅?3ab52ab,,,126.858787,37.569004
占썬끉沅?3ba47bb,,,126.861963,37.528460
占썬끉沅?3ba48aa,2074.00,2074.0000000000000000000000000000000,126.861944,37.530714
占썬끉沅?3ba48ab,1740.00,1740.0000000000000000000000000000000,126.861925,37.532967
占썬끉沅?3ba48ba,2617.00,2617.0000000000000000000000000000000,126.861906,37.535220
占썬끉沅?3ba48bb,2194.00,2194.0000000000000000000000000000000,126.861887,37.537473
占썬끉沅?3ba49aa,117.00,117.0000000000000000000000000000000,126.861867,37.539727
占썬끉沅?3ba49ab,1180.00,1180.0000000000000000000000000000000,126.861848,37.541980
占썬끉沅?3ba49ba,1882.00,1882.0000000000000000000000000000000,126.861829,37.544233
占썬끉沅?3ba49bb,1609.00,1609.0000000000000000000000000000000,126.861810,37.546486
占썬끉沅?3ba50aa,1498.00,1498.0000000000000000000000000000000,126.861791,37.548740
占썬끉沅?3ba50ab,2218.00,2217.9999999999900000000000000000000,126.861771,37.550993
占썬끉沅?3ba50ba,877.00,877.0000000000000000000000000000000,126.861752,37.553246
占썬끉沅?3ba50bb,3613.00,3613.0000000000000000000000000000000,126.861733,37.555499
占썬끉沅?3ba51aa,1415.00,1415.0000000000000000000000000000000,126.861714,37.557753
占썬끉沅?3ba51ab,1825.00,1825.0000000000000000000000000000000,126.861694,37.560006
占썬끉沅?3ba51ba,3216.00,3216.0000000000000000000000000000000,126.861675,37.562259
占썬끉沅?3ba51bb,,,126.861656,37.564512
占썬끉沅?3ba52aa,,,126.861637,37.566766
占썬끉沅?3bb48aa,14.00,14.0000000000000000000000000000000,126.864773,37.530729
占썬끉沅?3bb48ab,,,126.864754,37.532982
占썬끉沅?3bb48ba,,,126.864735,37.535235
占썬끉沅?3bb48bb,43.00,43.0000000000000000000000000000000,126.864716,37.537489
占썬끉沅?3bb49aa,382.00,382.0000000000000000000000000000000,126.864697,37.539742
占썬끉沅?3bb49ab,,,126.864678,37.541995
占썬끉沅?3bb50aa,10.00,9.9999999999999900000000000000000,126.864621,37.548755
占썬끉沅?3bb50ab,1352.00,1352.0000000000000000000000000000000,126.864601,37.551008
占썬끉沅?3bb50ba,2397.00,2397.0000000000000000000000000000000,126.864582,37.553261
占썬끉沅?3bb50bb,2629.00,2629.0000000000000000000000000000000,126.864563,37.555515
占썬끉沅?3bb51aa,1747.00,1747.0000000000000000000000000000000,126.864544,37.557768
占썬끉沅?3bb51ab,379.00,379.0000000000000000000000000000000,126.864525,37.560021
占썬끉沅?3bb51ba,,,126.864506,37.562274
占썬끉沅?3bb51bb,,,126.864487,37.564528
占썬끉沅?4aa50aa,22.00,22.0000000000000000000000000000000,126.867451,37.548770
占썬끉沅?4aa50ab,2367.00,2367.0000000000000000000000000000000,126.867432,37.551023
占썬끉沅?4aa50ba,1658.00,1658.0000000000000000000000000000000,126.867412,37.553277
占썬끉沅?4aa50bb,3066.00,3066.0000000000000000000000000000000,126.867393,37.555530
占썬끉沅?4aa51aa,1251.00,1251.0000000000000000000000000000000,126.867374,37.557783
占썬끉沅?4aa51ab,,,126.867355,37.560036
占썬끉沅?4aa51ba,,,126.867336,37.562290
