gid,landprice_lbl,landprice_val,경도,위도
占썬끉沅?8aa55aa,68500.00,68500.0000000000000000000000000000000,126.799108,37.593451
占썬끉沅?8aa55ab,68500.00,68500.0000000000000000000000000000000,126.799087,37.595704
占썬끉沅?8aa55ba,68499.99,68499.9900000000000000000000000000000,126.799066,37.597958
占썬끉沅?8aa55bb,68499.99,68499.9900000000000000000000000000000,126.799045,37.600211
占썬끉沅?8aa56aa,68499.96,68499.9600000000000000000000000000000,126.799023,37.602464
占썬끉沅?8ab49ab,198992.61,198992.6099999990000000000000000000000,126.802423,37.541644
占썬끉沅?8ab49ba,310824.11,310824.1100000000000000000000000000000,126.802402,37.543897
占썬끉沅?8ab49bb,392843.33,392843.3300000000000000000000000000000,126.802381,37.546150
占썬끉沅?8ab50aa,,,126.802360,37.548403
占썬끉沅?8ab50ab,,,126.802339,37.550657
占썬끉沅?8ab50ba,,,126.802318,37.552910
占썬끉沅?8ab50bb,390500.23,390500.2299999990000000000000000000000,126.802297,37.555163
占썬끉沅?8ab51aa,390604.48,390604.4799999990000000000000000000000,126.802276,37.557416
占썬끉沅?8ab51ab,390501.17,390501.1699999990000000000000000000000,126.802255,37.559670
占썬끉沅?8ab51ba,2185001.49,2185001.4900000000000000000000000000000,126.802234,37.561923
占썬끉沅?8ab51bb,2185000.00,2185000.0000000000000000000000000000000,126.802213,37.564176
占썬끉沅?8ab52aa,390500.47,390500.4699999990000000000000000000000,126.802192,37.566429
占썬끉沅?8ab52ab,474056.12,474056.1199999990000000000000000000000,126.802171,37.568682
占썬끉沅?8ab52ba,712365.63,712365.6300000000000000000000000000000,126.802150,37.570936
占썬끉沅?8ab52bb,365535.59,365535.5900000000000000000000000000000,126.802129,37.573189
占썬끉沅?8ab53aa,798383.06,798383.0600000000000000000000000000000,126.802108,37.575442
占썬끉沅?8ab53ab,1201313.06,1201313.0600000000000000000000000000000,126.802087,37.577695
占썬끉沅?8ab53ba,679988.61,679988.6099999990000000000000000000000,126.802066,37.579949
占썬끉沅?8ab53bb,98272.83,98272.8300000000000000000000000000000,126.802045,37.582202
占썬끉沅?8ab54aa,97051.38,97051.3800000000000000000000000000000,126.802024,37.584455
占썬끉沅?8ab54ab,751937.75,751937.7500000000000000000000000000000,126.802003,37.586708
占썬끉沅?8ab54ba,500967.40,500967.4000000000000000000000000000000,126.801982,37.588961
占썬끉沅?8ab54bb,73106.34,73106.3399999999000000000000000000000,126.801961,37.591215
占썬끉沅?8ab55aa,68500.01,68500.0099999999000000000000000000000,126.801940,37.593468
占썬끉沅?8ab55ab,68500.00,68500.0000000000000000000000000000000,126.801919,37.595721
占썬끉沅?8ab55ba,68500.00,68500.0000000000000000000000000000000,126.801898,37.597974
占썬끉沅?8ab55bb,68499.99,68499.9900000000000000000000000000000,126.801877,37.600228
占썬끉沅?8ab56aa,68499.99,68499.9900000000000000000000000000000,126.801856,37.602481
占썬끉沅?8ab56ab,,,126.801834,37.604734
占썬끉沅?8ba49ba,,,126.805232,37.543914
占썬끉沅?8ba49bb,,,126.805211,37.546167
占썬끉沅?8ba50aa,,,126.805190,37.548420
占썬끉沅?8ba50ab,390500.00,390500.0000000000000000000000000000000,126.805169,37.550673
占썬끉沅?8ba50ba,390545.09,390545.0900000000000000000000000000000,126.805148,37.552927
占썬끉沅?8ba50bb,,,126.805127,37.555180
占썬끉沅?8ba51aa,1569999.57,1569999.5700000000000000000000000000000,126.805107,37.557433
占썬끉沅?8ba51ab,,,126.805086,37.559686
占썬끉沅?8ba51ba,2185009.51,2185009.5099999900000000000000000000000,126.805065,37.561939
占썬끉沅?8ba51bb,1197046.16,1197046.1599999900000000000000000000000,126.805044,37.564193
占썬끉沅?8ba52aa,2750624.95,2750624.9500000000000000000000000000000,126.805023,37.566446
占썬끉沅?8ba52ab,1646554.76,1646554.7600000000000000000000000000000,126.805002,37.568699
占썬끉沅?8ba52ba,3076725.67,3076725.6699999900000000000000000000000,126.804981,37.570952
占썬끉沅?8ba52bb,1986618.97,1986618.9699999900000000000000000000000,126.804960,37.573206
占썬끉沅?8ba53aa,137175.02,137175.0199999990000000000000000000000,126.804939,37.575459
占썬끉沅?8ba53ab,110273.63,110273.6300000000000000000000000000000,126.804918,37.577712
占썬끉沅?8ba53ba,93639.17,93639.1699999999000000000000000000000,126.804897,37.579965
占썬끉沅?8ba53bb,188937.79,188937.7900000000000000000000000000000,126.804876,37.582219
占썬끉沅?8ba54aa,90259.72,90259.7200000000000000000000000000000,126.804855,37.584472
占썬끉沅?8ba54ab,98076.92,98076.9199999999000000000000000000000,126.804834,37.586725
占썬끉沅?8ba54ba,127144.67,127144.6699999990000000000000000000000,126.804813,37.588978
占썬끉沅?8ba54bb,70632.55,70632.5500000000000000000000000000000,126.804792,37.591231
占썬끉沅?8ba55aa,68500.00,68500.0000000000000000000000000000000,126.804771,37.593485
占썬끉沅?8ba55ab,68500.00,68500.0000000000000000000000000000000,126.804750,37.595738
占썬끉沅?8ba55ba,68499.99,68499.9900000000000000000000000000000,126.804730,37.597991
占썬끉沅?8ba55bb,68500.00,68500.0000000000000000000000000000000,126.804709,37.600244
占썬끉沅?8ba56aa,68500.00,68500.0000000000000000000000000000000,126.804688,37.602497
占썬끉沅?8ba56ab,,,126.804667,37.604751
占썬끉沅?8bb49ab,644197.75,644197.7500000000000000000000000000000,126.808083,37.541677
占썬끉沅?8bb49ba,510172.25,510172.2500000000000000000000000000000,126.808062,37.543930
占썬끉沅?8bb49bb,390490.53,390490.5300000000000000000000000000000,126.808041,37.546184
占썬끉沅?8bb50aa,,,126.808020,37.548437
占썬끉沅?8bb50ab,,,126.807999,37.550690
占썬끉沅?8bb50ba,,,126.807979,37.552943
占썬끉沅?8bb50bb,,,126.807958,37.555196
占썬끉沅?8bb51aa,1717979.80,1717979.8000000000000000000000000000000,126.807937,37.557450
占썬끉沅?8bb51ab,2716277.45,2716277.4500000000000000000000000000000,126.807916,37.559703
占썬끉沅?8bb51ba,4400965.34,4400965.3399999900000000000000000000000,126.807895,37.561956
占썬끉沅?8bb51bb,3435484.18,3435484.1800000000000000000000000000000,126.807874,37.564209
占썬끉沅?8bb52aa,3534517.30,3534517.2999999900000000000000000000000,126.807853,37.566463
占썬끉沅?8bb52ab,4029539.07,4029539.0699999900000000000000000000000,126.807833,37.568716
占썬끉沅?8bb52ba,3792642.64,3792642.6400000000000000000000000000000,126.807812,37.570969
占썬끉沅?8bb52bb,2877975.57,2877975.5699999900000000000000000000000,126.807791,37.573222
占썬끉沅?8bb53aa,1976480.12,1976480.1200000000000000000000000000000,126.807770,37.575475
占썬끉沅?8bb53ab,1080293.29,1080293.2900000000000000000000000000000,126.807749,37.577729
占썬끉沅?8bb53ba,112840.24,112840.2400000000000000000000000000000,126.807728,37.579982
占썬끉沅?8bb53bb,95018.72,95018.7200000000000000000000000000000,126.807707,37.582235
占썬끉沅?8bb54aa,104674.75,104674.7500000000000000000000000000000,126.807687,37.584488
占썬끉沅?8bb54ab,139749.25,139749.2500000000000000000000000000000,126.807666,37.586742
占썬끉沅?8bb54ba,147325.71,147325.7099999990000000000000000000000,126.807645,37.588995
占썬끉沅?8bb54bb,68499.99,68499.9900000000000000000000000000000,126.807624,37.591248
占썬끉沅?8bb55aa,68500.00,68500.0000000000000000000000000000000,126.807603,37.593501
占썬끉沅?8bb55ab,68500.01,68500.0099999999000000000000000000000,126.807582,37.595754
占썬끉沅?8bb55ba,68499.99,68499.9900000000000000000000000000000,126.807561,37.598008
占썬끉沅?8bb55bb,68500.00,68500.0000000000000000000000000000000,126.807540,37.600261
占썬끉沅?8bb56aa,,,126.807520,37.602514
占썬끉沅?9aa49ab,556809.96,556809.9599999990000000000000000000000,126.810912,37.541694
占썬끉沅?9aa49ba,427584.28,427584.2800000000000000000000000000000,126.810892,37.543947
占썬끉沅?9aa49bb,525421.41,525421.4100000000000000000000000000000,126.810871,37.546200
占썬끉沅?9aa50aa,1564497.47,1564497.4699999900000000000000000000000,126.810850,37.548453
占썬끉沅?9aa50ab,1570135.89,1570135.8899999900000000000000000000000,126.810829,37.550707
占썬끉沅?9aa50ba,1570000.01,1570000.0100000000000000000000000000000,126.810809,37.552960
占썬끉沅?9aa50bb,1460673.66,1460673.6599999900000000000000000000000,126.810788,37.555213
占썬끉沅?9aa51aa,2787268.62,2787268.6200000000000000000000000000000,126.810767,37.557466
占썬끉沅?9aa51ab,3348654.61,3348654.6099999900000000000000000000000,126.810746,37.559719
占썬끉沅?9aa51ba,4804780.64,4804780.6399999900000000000000000000000,126.810726,37.561973
占썬끉沅?9aa51bb,4573235.40,4573235.4000000000000000000000000000000,126.810705,37.564226
占썬끉沅?9aa52aa,3490577.87,3490577.8700000000000000000000000000000,126.810684,37.566479
占썬끉沅?9aa52ab,2799820.15,2799820.1499999900000000000000000000000,126.810663,37.568732
占썬끉沅?9aa52ba,3596112.03,3596112.0299999900000000000000000000000,126.810643,37.570986
占썬끉沅?9aa52bb,3848174.92,3848174.9199999900000000000000000000000,126.810622,37.573239
占썬끉沅?9aa53aa,3221279.85,3221279.8500000000000000000000000000000,126.810601,37.575492
占썬끉沅?9aa53ab,5117076.03,5117076.0300000000000000000000000000000,126.810580,37.577745
占썬끉沅?9aa53ba,2158716.65,2158716.6499999900000000000000000000000,126.810560,37.579998
占썬끉沅?9aa53bb,861160.73,861160.7299999990000000000000000000000,126.810539,37.582252
占썬끉沅?9aa54aa,390836.02,390836.0200000000000000000000000000000,126.810518,37.584505
占썬끉沅?9aa54ab,284790.59,284790.5900000000000000000000000000000,126.810497,37.586758
占썬끉沅?9aa54ba,90766.98,90766.9799999999000000000000000000000,126.810476,37.589011
占썬끉沅?9aa54bb,68500.00,68500.0000000000000000000000000000000,126.810456,37.591265
占썬끉沅?9aa55aa,68500.01,68500.0099999999000000000000000000000,126.810435,37.593518
占썬끉沅?9aa55ab,68500.01,68500.0099999999000000000000000000000,126.810414,37.595771
占썬끉沅?9aa55ba,68500.00,68500.0000000000000000000000000000000,126.810393,37.598024
占썬끉沅?9aa55bb,,,126.810372,37.600277
占썬끉沅?9ab49ab,576624.78,576624.7800000000000000000000000000000,126.813742,37.541710
占썬끉沅?9ab49ba,715537.48,715537.4799999990000000000000000000000,126.813722,37.543963
占썬끉沅?9ab49bb,1207451.54,1207451.5400000000000000000000000000000,126.813701,37.546217
占썬끉沅?9ab50aa,1546682.64,1546682.6399999900000000000000000000000,126.813680,37.548470
占썬끉沅?9ab50ab,1569988.77,1569988.7700000000000000000000000000000,126.813660,37.550723
占썬끉沅?9ab50ba,1035564.64,1035564.6400000000000000000000000000000,126.813639,37.552976
占썬끉沅?9ab50bb,2334794.38,2334794.3799999900000000000000000000000,126.813618,37.555229
占썬끉沅?9ab51aa,2748108.32,2748108.3199999900000000000000000000000,126.813598,37.557483
占썬끉沅?9ab51ab,3561988.47,3561988.4700000000000000000000000000000,126.813577,37.559736
占썬끉沅?9ab51ba,3832943.57,3832943.5699999900000000000000000000000,126.813556,37.561989
占썬끉沅?9ab51bb,3580933.10,3580933.1000000000000000000000000000000,126.813536,37.564242
占썬끉沅?9ab52aa,3759983.27,3759983.2700000000000000000000000000000,126.813515,37.566496
占썬끉沅?9ab52ab,3350544.41,3350544.4100000000000000000000000000000,126.813494,37.568749
占썬끉沅?9ab52ba,3923424.43,3923424.4300000000000000000000000000000,126.813473,37.571002
占썬끉沅?9ab52bb,3667794.47,3667794.4700000000000000000000000000000,126.813453,37.573255
占썬끉沅?9ab53aa,3605194.51,3605194.5099999900000000000000000000000,126.813432,37.575509
占썬끉沅?9ab53ab,4251839.33,4251839.3300000000000000000000000000000,126.813411,37.577762
占썬끉沅?9ab53ba,4603215.38,4603215.3799999900000000000000000000000,126.813391,37.580015
占썬끉沅?9ab53bb,709846.59,709846.5899999990000000000000000000000,126.813370,37.582268
占썬끉沅?9ab54aa,427411.49,427411.4899999990000000000000000000000,126.813349,37.584521
占썬끉沅?9ab54ab,206906.97,206906.9700000000000000000000000000000,126.813329,37.586775
占썬끉沅?9ab54ba,68500.00,68500.0000000000000000000000000000000,126.813308,37.589028
占썬끉沅?9ab54bb,68499.99,68499.9900000000000000000000000000000,126.813287,37.591281
占썬끉沅?9ab55aa,68500.00,68500.0000000000000000000000000000000,126.813267,37.593534
占썬끉沅?9ab55ab,68500.00,68500.0000000000000000000000000000000,126.813246,37.595788
占썬끉沅?9ab55ba,,,126.813225,37.598041
占썬끉沅?9ba49aa,,,126.816592,37.539473
占썬끉沅?9ba49ab,801498.94,801498.9399999990000000000000000000000,126.816572,37.541726
