업소명,소재지도로명주소,소재지지번주소,address,latitude,longitude,chain
스타벅스 강서NC점,서울특별시 강서구 강서로56길 17,서울특별시 강서구 등촌동 689 NC 강서점 1층 일부 ,서울특별시 강서구 등촌동 689,126.840498784915,37.559933531546,스타벅스
더벤티 가양역점,서울특별시 강서구 양천로 492,서울특별시 강서구 등촌동 78-7 외 1필지 길훈엔트런스빌 1층 104호,서울특별시 강서구 등촌동 78-7,126.854626804611,37.560875023018,더벤티
더벤티강서구청사거리점,서울특별시 강서구 화곡로64길 2,서울특별시 강서구 등촌동 656 경동미르웰한올림 1층 101호,서울특별시 강서구 등촌동 656,126.853561105277,37.5572806227804,더벤티
투썸플레이스 강서등촌한빛점,서울특별시 강서구 공항대로45길 33,서울특별시 강서구 등촌동 656-37 한빛어반뉴스토리 1~2층 101호 ,서울특별시 강서구 등촌동 656-37,126.854982329604,37.5567758366078,투썸플레이스
스타벅스 내발산점,서울특별시 강서구 강서로 323,"서울특별시 강서구 내발산동 668 101,102호 ",서울특별시 강서구 내발산동 668,126.836553620481,37.5546704615225,스타벅스
투썸플레이스 강서등촌3동점,서울특별시 강서구 공항대로41길 34,서울특별시 강서구 등촌동 700 플러스존 102호,서울특별시 강서구 등촌동 700,126.84571196058,37.5592796685251,투썸플레이스
스타벅스 마곡웰튼점,서울특별시 강서구 마곡중앙5로 22,"서울특별시 강서구 마곡동 759-2 1층 104,105,106호 ",서울특별시 강서구 마곡동 759-2,126.825303015866,37.5672498211268,스타벅스
더벤티 공항시장역점,서울특별시 강서구 공항대로3길 38,서울특별시 강서구 공항동 22-56 가동 103호,서울특별시 강서구 공항동 22-56,126.810637794742,37.5632097635415,더벤티
스타벅스 강서우장산점,서울특별시 강서구 강서로 231,"서울특별시 강서구 화곡동 1170 우장산역 해링턴 타워 116, 117, 118, 119, 120호 ",서울특별시 강서구 화곡동 1170,126.836117683731,37.546244810291,스타벅스
스타벅스 김포공항DT점,서울특별시 강서구 개화동로 517,서울특별시 강서구 방화동 645-6 ,서울특별시 강서구 방화동 645-6,126.806047276966,37.5662952468095,스타벅스
스타벅스 화곡역8번출구점,서울특별시 강서구 강서로 179,서울특별시 강서구 화곡동 1051-27 1층 일부호,서울특별시 강서구 화곡동 1051-27,126.839322200876,37.5423627575293,스타벅스
투썸플레이스 강서화곡로,서울특별시 강서구 화곡로 228,서울특별시 강서구 화곡동 24-484 대원빌딩 1층 ,서울특별시 강서구 화곡동 24-484,126.844938724079,37.5454040184884,투썸플레이스
더벤티커피(theVenti COFFEE) 등촌2동점,서울특별시 강서구 등촌로 173,서울특별시 강서구 등촌동 513-1 3호,서울특별시 강서구 등촌동 513-1,126.862143168452,37.5454022015772,더벤티
