업소명,소재지도로명주소,소재지지번주소,address,latitude,longitude,chain
폴바셋 강서부민병원점,서울특별시 강서구 공항대로 389,서울특별시 강서구 등촌동 657 부민병원 1층 ,서울특별시 강서구 등촌동 657,126.850994485911,37.5568325895602,폴바셋
스타벅스 강서구청사거리점,서울특별시 강서구 화곡로 350,"서울특별시 강서구 화곡동 1111 SJ라벨라 1층 104, 105, 106,107호 ",서울특별시 강서구 화곡동 1111,126.852356873973,37.5549481543332,스타벅스
더벤티 개화산역점,서울특별시 강서구 양천로10길 38,서울특별시 강서구 방화동 904 신마곡벽산블루밍 판매시설2동 105동 106호 ,서울특별시 강서구 방화동 904,126.808179412194,37.5712896980823,더벤티
스타벅스 등촌대로점,서울특별시 강서구 공항대로 543,"서울특별시 강서구 염창동 274-17 센터스퀘어(지상 1층) 104-2.105,106 ",서울특별시 강서구 염창동 274-17,126.866412265444,37.5507388549618,스타벅스
더벤티,서울특별시 강서구 화곡로 158,서울특별시 강서구 화곡동 1074-17 세림빌딩 1층 ,서울특별시 강서구 화곡동 1074-17,126.839198558546,37.5410822699007,더벤티
투썸플레이스 발산W타워점,서울특별시 강서구 공항대로 222,서울특별시 강서구 마곡동 800-4 발산W타워 101~102호 ,서울특별시 강서구 마곡동 800-4,126.832202660216,37.5586846946816,투썸플레이스
스타벅스 가양역사거리점,서울특별시 강서구 화곡로 416,서울특별시 강서구 등촌동 628-9 가양역 더스카이밸리5차 지식산업센터1층 ,서울특별시 강서구 등촌동 628-9,126.855473422039,37.5600443528765,스타벅스
스타벅스 강서NC점,서울특별시 강서구 강서로56길 17,서울특별시 강서구 등촌동 689 NC 강서점 1층 일부 ,서울특별시 강서구 등촌동 689,126.840349890548,37.5599628829761,스타벅스
더벤티 가양역점,서울특별시 강서구 양천로 492,서울특별시 강서구 등촌동 78-7 외 1필지 길훈엔트런스빌 1층 104호,서울특별시 강서구 등촌동 78-7,126.854587378678,37.5608949765795,더벤티
더벤티강서구청사거리점,서울특별시 강서구 화곡로64길 2,서울특별시 강서구 등촌동 656 경동미르웰한올림 1층 101호,서울특별시 강서구 등촌동 656,126.853571330412,37.5572605432377,더벤티
투썸플레이스 강서등촌한빛점,서울특별시 강서구 공항대로45길 33,서울특별시 강서구 등촌동 656-37 한빛어반뉴스토리 1~2층 101호 ,서울특별시 강서구 등촌동 656-37,126.854998945031,37.5567868491738,투썸플레이스
스타벅스 내발산점,서울특별시 강서구 강서로 323,"서울특별시 강서구 내발산동 668 101,102호 ",서울특별시 강서구 내발산동 668,126.836550082246,37.5546841517761,스타벅스
투썸플레이스 강서등촌3동점,서울특별시 강서구 공항대로41길 34,서울특별시 강서구 등촌동 700 플러스존 102호,서울특별시 강서구 등촌동 700,126.845730930212,37.559301227122,투썸플레이스
스타벅스 마곡웰튼점,서울특별시 강서구 마곡중앙5로 22,"서울특별시 강서구 마곡동 759-2 1층 104,105,106호 ",서울특별시 강서구 마곡동 759-2,126.825304184792,37.5672824388665,스타벅스
더벤티 공항시장역점,서울특별시 강서구 공항대로3길 38,서울특별시 강서구 공항동 22-56 가동 103호,서울특별시 강서구 공항동 22-56,126.810655507471,37.5632324069286,더벤티
스타벅스 강서우장산점,서울특별시 강서구 강서로 231,"서울특별시 강서구 화곡동 1170 우장산역 해링턴 타워 116, 117, 118, 119, 120호 ",서울특별시 강서구 화곡동 1170,126.835937500248,37.5461569830675,스타벅스
스타벅스 김포공항DT점,서울특별시 강서구 개화동로 517,서울특별시 강서구 방화동 645-6 ,서울특별시 강서구 방화동 645-6,126.806080586799,37.566282867801,스타벅스
스타벅스 화곡역8번출구점,서울특별시 강서구 강서로 179,서울특별시 강서구 화곡동 1051-27 1층 일부호,서울특별시 강서구 화곡동 1051-27,126.839263788134,37.5423746613168,스타벅스
투썸플레이스 강서화곡로,서울특별시 강서구 화곡로 228,서울특별시 강서구 화곡동 24-484 대원빌딩 1층 ,서울특별시 강서구 화곡동 24-484,126.844966129714,37.5453936929923,투썸플레이스
더벤티커피(theVenti COFFEE) 등촌2동점,서울특별시 강서구 등촌로 173,서울특별시 강서구 등촌동 513-1 3호,서울특별시 강서구 등촌동 513-1,126.862078204728,37.545408162407,더벤티
