values,address,area(m2),latitude,longitude
공동주택,서울특별시 강서구 허준로 ,2059.14,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2136.74,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2431.04,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2197.14,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,496.78,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2431.04,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,2353.4,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 209,742.33,37.5621651,126.86089330986596
공동주택,서울특별시 강서구 허준로 ,382.38,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 209,430.64,37.5621651,126.86089330986596
공동주택,서울특별시 강서구 허준로 ,898.21,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,430.64,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,382.38,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,665.94,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,382.38,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,898.21,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,430.64,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,430.64,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1001.46,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1092.64,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1187.82,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,796.84,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1092.64,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,1064.64,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,523.2,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,765.08,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,523.2,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,713.96,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,580.8,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,842.42,37.5652368,126.8535763
공동주택,서울특별시 강서구 양천로61길 50,415.96,37.5580516,126.8642944
공동주택,서울특별시 강서구 허준로 ,464.52,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,294.53,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,834.18,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,600.38,37.5652368,126.8535763
공동주택,서울특별시 강서구 허준로 ,599.76,37.5652368,126.8535763
공동주택,서울특별시 강서구 강서로 ,0.0,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 ,473.692,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 ,709.348,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 ,177.742,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 ,14.63,37.5395003,126.8419741
공동주택,서울특별시 강서구 강서로 ,111.94,37.5395003,126.8419741
공동주택,서울특별시 강서구 양천로53길 ,432.97,37.5674864,126.8486543
공동주택,서울특별시 강서구 양천로53길 ,72.0,37.5674864,126.8486543
공동주택,서울특별시 강서구 양천로53길 ,412.85,37.5674864,126.8486543
공동주택,서울특별시 강서구 양천로53길 ,12.0,37.5674864,126.8486543
공동주택,서울특별시 강서구 양천로55길 ,788.2736,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로55길 ,548.2013,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로55길 ,566.2609,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로55길 ,691.7217,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로55길 ,745.2949,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로55길 ,692.0154,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로55길 ,415.5838,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로55길 ,28.4984,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로55길 ,22.3742,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로55길 ,637.3261,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로55길 ,22.3742,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로55길 ,127.4187,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로55길 ,673.6382,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로55길 ,581.0054,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로55길 ,22.3741,37.5658664,126.8498355
공동주택,서울특별시 강서구 양천로47가길 ,302.84,37.5709304,126.8393685
공동주택,서울특별시 강서구 강서로76길 7,117.76,37.5691768,126.8428947
공동주택,서울특별시 강서구 양천로 333-4,455.13,37.55342,126.86894
공동주택,서울특별시 강서구 양천로49길 ,241.21,37.5714536,126.8402389
공동주택,서울특별시 강서구 강서로 ,573.02,37.5395003,126.8419741
공동주택,서울특별시 강서구 양천로47나길 52-10,133.1,37.5719509,126.8402751
공동주택,서울특별시 강서구 양천로47나길 ,380.79,37.5719509,126.8402751
공동주택,서울특별시 강서구 양천로47나길 42,178.28,37.5719509,126.8402751
공동주택,서울특별시 강서구 양천로47나길 ,129.46,37.5719509,126.8402751
공동주택,서울특별시 강서구 양천로47나길 48-10,224.18,37.5719509,126.8402751
공동주택,서울특별시 강서구 양천로49길 68-16,122.64,37.5714536,126.8402389
공동주택,서울특별시 강서구 양천로49길 68-20,151.01,37.5714536,126.8402389
공동주택,서울특별시 강서구 양천로49길 56-7,112.86,37.5714536,126.8402389
