기준_년월_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2021,1,A,골목상권,1000116,왕십리로14길,997,776,221,0,81,112,200,271,333,0,33,77,137,226,303,0,48,35,63,45,30
2021,1,A,골목상권,1000117,왕십리로21길,164,77,87,0,34,34,27,32,37,0,11,17,11,14,24,0,23,17,16,18,13
2021,1,A,골목상권,1000118,왕십리로26길,2076,1357,719,10,306,454,471,480,355,1,118,306,356,355,221,9,188,148,115,125,134
2021,1,A,골목상권,1000119,왕십리로31길,208,95,113,1,23,49,58,41,36,1,7,17,24,19,27,0,16,32,34,22,9
2021,1,A,골목상권,1000120,왕십리로6길,538,350,188,5,63,120,121,156,73,4,30,77,70,117,52,1,33,43,51,39,21
2021,1,A,골목상권,1000121,용답29길,537,360,177,0,89,181,150,76,41,0,48,107,118,54,33,0,41,74,32,22,8
2021,1,A,골목상권,1000122,용답중앙길,93,66,27,1,8,19,28,20,17,1,6,16,20,10,13,0,2,3,8,10,4
2021,1,A,골목상권,1000123,장터길,90,46,44,0,9,26,19,22,14,0,0,14,7,15,10,0,9,12,12,7,4
2021,1,A,골목상권,1000124,청계천로10나길,4951,3728,1223,29,338,805,1117,1783,879,26,215,591,896,1330,670,3,123,214,221,453,209
2021,1,A,골목상권,1000125,한림말3길,3329,1128,2201,0,961,1041,714,416,197,0,199,326,315,195,93,0,762,715,399,221,104
2021,1,A,골목상권,1000126,한림말길,355,174,181,1,79,77,101,69,28,0,37,44,55,23,15,1,42,33,46,46,13
2021,1,A,골목상권,1000127,광나루로12길,60,19,41,0,6,9,10,25,10,0,3,3,6,3,4,0,3,6,4,22,6
2021,1,A,골목상권,1000128,광나루로24길,25,12,13,0,5,8,7,2,3,0,1,3,5,1,2,0,4,5,2,1,1
2021,1,A,골목상권,1000129,광나루로36길,412,169,243,1,56,102,103,110,40,1,18,45,41,33,31,0,38,57,62,77,9
2021,1,A,골목상권,1000130,광나루로37길,60,29,31,0,8,17,22,11,2,0,0,9,14,4,2,0,8,8,8,7,0
2021,1,A,골목상권,1000131,광나루로40길,242,128,114,0,44,44,67,56,31,0,14,18,34,35,27,0,30,26,33,21,4
2021,1,A,골목상권,1000132,광나루로52길,649,395,254,1,113,132,124,103,176,0,62,97,94,52,90,1,51,35,30,51,86
2021,1,A,골목상권,1000133,긴고랑로20길,174,98,76,0,12,32,57,43,30,0,5,18,31,23,21,0,7,14,26,20,9
2021,1,A,골목상권,1000134,긴고랑로7길,460,353,107,1,26,46,86,161,140,0,11,26,56,130,130,1,15,20,30,31,10
2021,1,A,골목상권,1000135,긴고랑로8길,947,573,374,0,167,301,198,155,126,0,68,162,131,105,107,0,99,139,67,50,19
2021,1,A,골목상권,1000136,긴고랑로9길,138,51,87,1,18,30,46,34,9,0,2,9,16,19,5,1,16,21,30,15,4
2021,1,A,골목상권,1000137,능동로13길,221,109,112,1,40,57,52,53,18,1,17,32,22,23,14,0,23,25,30,30,4
2021,1,A,골목상권,1000138,능동로19길,133,77,56,0,45,24,25,24,15,0,19,18,13,15,12,0,26,6,12,9,3
2021,1,A,골목상권,1000139,능동로34길,1018,676,342,3,162,214,218,210,211,0,85,145,144,139,163,3,77,69,74,71,48
2021,1,A,골목상권,1000140,능동로3길,71,45,26,0,6,15,19,16,15,0,0,9,15,11,10,0,6,6,4,5,5
2021,1,A,골목상권,1000141,능동로4길,947,834,113,0,110,253,308,254,22,0,94,221,268,234,17,0,16,32,40,20,5
2021,1,A,골목상권,1000142,동일로18길,79,54,25,0,3,17,28,24,7,0,2,8,19,19,6,0,1,9,9,5,1
2021,1,A,골목상권,1000143,동일로24길,42,32,10,0,2,3,18,10,9,0,1,0,18,8,5,0,1,3,0,2,4
2021,1,A,골목상권,1000144,뚝섬로23길,209,148,61,5,14,22,49,67,52,4,8,14,29,49,44,1,6,8,20,18,8
2021,1,A,골목상권,1000145,뚝섬로24길,111,66,45,0,8,12,28,22,41,0,3,5,17,10,31,0,5,7,11,12,10
2021,1,A,골목상권,1000146,뚝섬로48길,228,134,94,2,32,58,61,52,23,2,20,31,36,28,17,0,12,27,25,24,6
2021,1,A,골목상권,1000147,뚝섬로54길,948,798,150,9,327,243,206,105,58,7,289,216,161,78,47,2,38,27,45,27,11
2021,1,A,골목상권,1000148,뚝섬로58길,278,141,137,0,39,45,67,72,55,0,14,27,32,29,39,0,25,18,35,43,16
2021,1,A,골목상권,1000149,뚝섬로64길,239,127,112,1,37,35,74,52,40,0,18,18,33,29,29,1,19,17,41,23,11
2021,1,A,골목상권,1000150,면목로17길,230,138,92,0,35,45,62,39,49,0,21,24,34,25,34,0,14,21,28,14,15
2021,1,A,골목상권,1000151,아차산로40길,357,207,150,1,96,67,73,59,61,1,46,39,39,34,48,0,50,28,34,25,13
2021,1,A,골목상권,1000152,아차산로51길,432,110,322,1,52,89,175,86,29,1,11,11,38,33,16,0,41,78,137,53,13
2021,1,A,골목상권,1000153,아차산로55길,243,150,93,0,31,67,67,38,40,0,13,35,45,28,29,0,18,32,22,10,11
2021,1,A,골목상권,1000154,아차산로65길,357,214,143,1,44,80,107,78,47,0,21,46,57,54,36,1,23,34,50,24,11
2021,1,A,골목상권,1000155,아차산로78길,575,421,154,0,83,170,156,94,72,0,53,137,109,67,55,0,30,33,47,27,17
2021,1,A,골목상권,1000156,용마산로21길,396,253,143,0,34,61,105,115,81,0,15,41,60,80,57,0,19,20,45,35,24
2021,1,A,골목상권,1000157,용마산로3길,541,431,110,0,112,154,121,81,73,0,92,115,94,62,68,0,20,39,27,19,5
2021,1,A,골목상권,1000158,자양로11길,646,250,396,0,172,118,124,144,88,0,40,33,46,78,53,0,132,85,78,66,35
2021,1,A,골목상권,1000159,자양로15길,106,45,61,0,9,20,32,21,24,0,1,12,11,10,11,0,8,8,21,11,13
2021,1,A,골목상권,1000160,자양로26길,141,91,50,0,10,30,45,28,28,0,6,18,29,15,23,0,4,12,16,13,5
2021,1,A,골목상권,1000161,자양로45길,448,184,264,1,67,86,153,110,31,0,20,45,60,42,17,1,47,41,93,68,14
2021,1,A,골목상권,1000162,자양로50길,218,121,97,0,34,47,57,43,37,0,10,20,34,28,29,0,24,27,23,15,8
2021,1,A,골목상권,1000163,자양로53길,170,120,50,1,25,29,47,39,29,1,18,24,29,24,24,0,7,5,18,15,5
2021,1,A,골목상권,1000164,자양번영로3길,587,462,125,0,28,54,167,231,107,0,16,35,132,192,87,0,12,19,35,39,20
2021,1,A,골목상권,1000165,천호대로109길,915,504,411,0,170,188,225,188,144,0,109,113,121,89,72,0,61,75,104,99,72
2021,1,A,골목상권,1000166,천호대로123길,625,282,343,2,51,92,152,199,129,1,13,41,65,85,77,1,38,51,87,114,52
2021,1,A,골목상권,1000167,천호대로129길,344,207,137,0,37,51,84,93,79,0,18,35,51,47,56,0,19,16,33,46,23
2021,1,A,골목상권,1000168,경희대로3길,28,16,12,0,9,4,5,4,6,0,4,3,2,3,4,0,5,1,3,1,2
2021,1,R,전통시장,1001463,신림중앙시장,43,27,16,0,1,2,14,12,14,0,0,2,7,9,9,0,1,0,7,3,5
2021,1,R,전통시장,1001467,우림시장,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2021,1,A,골목상권,1000169,경희대로4길,41,18,23,0,3,10,10,7,11,0,0,5,5,4,4,0,3,5,5,3,7
2021,1,A,골목상권,1000170,난계로30길,4980,2233,2747,6,308,1206,1793,1441,226,1,159,768,738,451,116,5,149,438,1055,990,110
2021,1,A,골목상권,1000171,답십리로23길,47,22,25,0,4,7,17,11,8,0,2,4,6,5,5,0,2,3,11,6,3
2021,1,A,골목상권,1000172,답십리로56길,78,39,39,0,6,9,25,29,9,0,2,4,13,14,6,0,4,5,12,15,3
2021,1,A,골목상권,1000173,답십리로60길,341,213,128,0,25,36,69,89,122,0,12,25,44,60,72,0,13,11,25,29,50
2021,1,A,골목상권,1000174,답십리로63길,1747,1051,696,39,1368,283,39,14,4,23,781,204,32,7,4,16,587,79,7,7,0
2021,1,A,골목상권,1000175,답십리로64길,103,73,30,0,8,13,33,31,18,0,3,7,24,22,17,0,5,6,9,9,1
2021,1,A,골목상권,1000176,답십리로68길,287,158,129,0,31,65,60,81,50,0,14,32,36,40,36,0,17,33,24,41,14
2021,1,A,골목상권,1000177,답십리로69길,533,270,263,1,71,86,126,154,95,0,26,46,64,72,62,1,45,40,62,82,33
